date,sentiment,close,volume,open_interest,pct_change
2025-08-28,0.0,481.7,93352,35837,0.42
2025-08-29,0.0,485.2,98280,31928,0.73
2025-09-01,0.0,483.5,81087,32147,-0.35
2025-09-02,0.0,490.4,79803,30151,1.43
2025-09-03,0.0,493.2,90876,28983,0.57
2025-09-04,0.0,481.0,117976,27643,-2.47
2025-09-05,0.0,482.0,88629,25244,0.21
2025-09-08,0.0,490.5,130328,24608,1.76
2025-09-09,0.0,482.8,111072,24849,-1.57
2025-09-10,0.0,486.2,103341,23689,0.7
2025-09-11,0.0,489.2,88071,21916,0.62
2025-09-12,0.0,476.7,44262,26745,-2.56
2025-09-15,0.0,489.3,51752,25870,2.64
2025-09-16,0.0,494.0,49598,27657,0.96
2025-09-17,0.0,499.3,95493,34848,1.07
2025-09-18,0.0,491.8,95903,33886,-1.5
2025-09-19,0.0,487.0,108898,33781,-0.98
2025-09-22,0.0,483.0,96133,35314,-0.82
2025-09-23,0.0,473.1,102117,37823,-2.05
2025-09-24,0.0,482.3,90734,33039,1.94
2025-09-25,0.0,490.6,82583,32112,1.72
2025-09-26,0.0,491.3,88721,29079,0.14
2025-09-29,0.0,492.6,95916,27883,0.26
2025-09-30,0.0,479.7,82293,24643,-2.62
2025-10-09,0.0,471.0,44433,26214,-1.81
2025-10-10,0.0,461.9,67796,28500,-1.93
2025-10-13,0.0,453.7,130018,25613,-1.78
2025-10-14,0.0,449.6,43565,30951,-0.9
2025-10-15,0.0,446.0,48540,34417,-0.8
2025-10-16,0.0,445.9,51519,35705,-0.02
2025-10-17,0.0,435.0,89404,40343,-2.44
2025-10-20,0.0,435.8,92978,44145,0.18
2025-10-21,0.0,437.7,97283,44704,0.44
2025-10-22,0.0,447.2,176213,46980,2.17
2025-10-23,0.0,459.7,151649,43154,2.8
2025-10-24,0.0,464.9,162707,41065,1.13
2025-10-27,0.0,468.9,109341,39325,0.86
2025-10-28,0.0,462.7,101862,36126,-1.32
2025-10-29,0.0,462.6,120627,32997,-0.02
2025-10-30,0.0,458.9,108667,31505,-0.8
2025-10-31,0.0,458.7,80193,29622,-0.04
2025-11-03,0.0,467.9,124085,30457,2.01
2025-11-04,0.0,463.5,78050,29025,-0.94
2025-11-05,0.0,463.7,81798,27156,0.04
2025-11-06,0.0,460.4,92739,27991,-0.71
2025-11-07,0.0,460.6,100853,26307,0.04
2025-11-10,0.0,461.8,92380,25681,0.26
2025-11-11,0.0,461.3,25838,28058,-0.11
2025-11-12,0.0,469.1,35302,30259,1.69
2025-11-13,0.0,452.9,74343,34266,-3.45
2025-11-14,0.0,459.5,69725,34038,1.46
2025-11-17,0.0,459.2,60902,37714,-0.07
2025-11-18,0.0,458.8,77617,38629,-0.09
2025-11-19,0.0,464.5,112595,41058,1.24
2025-11-20,0.0,455.5,119095,39074,-1.94
2025-11-21,0.0,447.4,141488,41969,-1.78
2025-11-24,0.0,447.9,108095,41574,0.11
2025-11-25,0.0,448.6,86242,40610,0.16
2025-11-26,0.0,445.0,116740,38698,-0.8
2025-11-27,0.0,447.6,77681,36011,0.58
2025-11-28,0.0,453.9,65822,33652,1.41
2025-12-01,0.0,455.7,74267,33224,0.4
2025-12-02,0.0,453.8,65837,31766,-0.42
2025-12-03,0.0,448.1,89287,31517,-1.26
2025-12-04,0.0,452.6,66483,29819,1.0
2025-12-05,0.0,453.7,66819,29337,0.24
2025-12-08,0.0,457.6,67558,29341,0.86
2025-12-09,0.0,446.1,74986,29784,-2.51
2025-12-10,0.0,443.7,53544,29090,-0.54
2025-12-11,0.0,439.7,66170,28139,-0.9
2025-12-12,0.0,437.6,60520,26445,-0.48
2025-12-15,0.0,437.3,32989,31767,-0.07
2025-12-16,0.0,430.6,48483,34553,-1.53
2025-12-17,0.0,426.7,94714,39057,-0.91
2025-12-18,0.0,429.4,82779,39043,0.63
2025-12-19,0.0,426.6,71483,40686,-0.65
2025-12-22,0.0,437.9,81884,39797,2.65
2025-12-23,0.0,440.9,79792,36910,0.69
2025-12-24,0.0,444.7,65801,36678,0.86
2025-12-25,0.0,442.7,45862,34826,-0.45
2025-12-26,0.0,441.8,46549,32823,-0.2
2025-12-29,0.0,434.8,73241,32180,-1.58
2025-12-30,0.0,436.1,66125,30384,0.3
2025-12-31,0.0,432.2,51990,29568,-0.89
2026-01-05,0.0,421.7,44486,34239,-2.43
2026-01-06,0.0,428.2,68944,31596,1.54
2026-01-07,0.0,416.3,110999,32970,-2.78
2026-01-08,0.0,416.2,70283,33068,-0.02
2026-01-09,0.0,432.7,85331,29929,3.96
2026-01-12,0.0,437.5,86570,25051,1.11
2026-01-13,0.0,446.7,51190,33792,2.1
2026-01-14,0.0,448.0,92089,36627,0.29
2026-01-15,0.0,446.6,115980,39575,-0.31
2026-01-16,0.0,438.8,88633,41539,-1.75
2026-01-19,0.0,437.4,77853,40770,-0.32
