date,sentiment,close,volume,amount,turnover_rate,pct_change
2025-08-21,0.0,279.0,182698,5103914720.0,0.43,-0.07
2025-08-22,0.0,287.18,264219,7543698627.0,0.62,2.93
2025-08-25,0.0,290.28,312297,9046692965.0,0.73,1.08
2025-08-26,0.0,289.5,230245,6648848315.0,0.54,-0.27
2025-08-27,0.0,278.3,382584,10859010299.0,0.9,-3.87
2025-08-28,0.0,277.41,304664,8407974991.0,0.72,-0.32
2025-08-29,0.0,306.18,780139,23482893636.0,1.83,10.37
2025-09-01,0.0,304.0,429964,13012795663.0,1.01,-0.71
2025-09-02,0.0,302.87,371169,11289093082.0,0.87,-0.37
2025-09-03,0.0,309.0,508975,15640548986.0,1.2,2.02
2025-09-04,0.0,304.03,657548,20442631453.0,1.55,-1.61
2025-09-05,0.0,325.11,708198,22440211715.0,1.67,6.93
2025-09-08,0.0,325.37,588346,19349632049.0,1.38,0.08
2025-09-09,0.0,320.0,434024,14085497657.0,1.02,-1.65
2025-09-10,0.0,316.04,367527,11649703595.0,0.86,-1.24
2025-09-11,0.0,322.55,380345,12060756826.0,0.89,2.06
2025-09-12,0.0,325.0,338713,11031032652.0,0.8,0.76
2025-09-15,0.0,354.7,718410,25586615240.0,1.69,9.14
2025-09-16,0.0,353.42,377445,13325722241.0,0.89,-0.36
2025-09-17,0.0,377.1,543771,20113064234.0,1.28,6.7
2025-09-18,0.0,366.89,518897,19308545613.0,1.22,-2.71
2025-09-19,0.0,368.49,339149,12515443886.0,0.8,0.44
2025-09-22,0.0,370.05,285278,10474484764.0,0.67,0.42
2025-09-23,0.0,368.15,348493,12813882349.0,0.82,-0.51
2025-09-24,0.0,379.93,383145,14311189086.0,0.9,3.2
2025-09-25,0.0,392.85,466393,18251421707.0,1.1,3.4
2025-09-26,0.0,380.4,362633,14106499741.0,0.85,-3.17
2025-09-29,0.0,397.37,389647,15381134070.0,0.92,4.46
2025-09-30,0.0,402.0,330313,13278445666.0,0.78,1.17
2025-10-09,0.0,409.89,412088,16989122538.0,0.97,1.96
2025-10-10,0.0,381.95,533118,20684330795.0,1.25,-6.82
2025-10-13,0.0,374.5,471510,17618650276.0,1.11,-1.95
2025-10-14,0.0,358.0,496399,18319370880.0,1.17,-4.41
2025-10-15,0.0,369.3,369934,13383852916.0,0.87,3.16
2025-10-16,0.0,368.5,276295,10185159269.0,0.65,-0.22
2025-10-17,0.0,358.14,319058,11588825855.0,0.75,-2.81
2025-10-20,0.0,366.5,284324,10372513059.0,0.67,2.33
2025-10-21,0.0,375.9,446329,16784956526.0,1.05,2.56
2025-10-22,0.0,372.86,219459,8178934535.0,0.52,-0.81
2025-10-23,0.0,376.45,239981,8982628026.0,0.56,0.96
2025-10-24,0.0,385.77,320416,12276721104.0,0.75,2.48
2025-10-27,0.0,386.18,404510,15542852577.0,0.95,0.11
2025-10-28,0.0,386.48,287083,11160796766.0,0.67,0.08
2025-10-29,0.0,400.0,344740,13644645225.0,0.81,3.5
2025-10-30,0.0,398.29,343061,13797530228.0,0.81,-0.43
2025-10-31,0.0,388.77,340484,13515773431.0,0.8,-2.39
2025-11-03,0.0,386.86,263682,10106566781.0,0.62,-0.49
2025-11-04,0.0,378.95,239391,9091842152.0,0.56,-2.04
2025-11-05,0.0,388.7,311425,11937586811.0,0.73,2.57
2025-11-06,0.0,394.68,234475,9261688311.0,0.55,1.54
2025-11-07,0.0,395.37,165549,6516185370.0,0.39,0.17
2025-11-10,0.0,384.51,238960,9267204047.0,0.56,-2.75
2025-11-11,0.0,385.6,193032,7500041113.0,0.45,0.28
2025-11-12,0.0,386.38,212998,8261238196.0,0.5,0.2
2025-11-13,0.0,415.6,562654,22945441956.0,1.32,7.56
2025-11-14,0.0,404.12,241721,9879119548.0,0.57,-2.76
2025-11-17,0.0,390.78,476855,18542294255.0,1.12,-3.3
2025-11-18,0.0,385.0,395658,15353867656.0,0.93,-1.48
2025-11-19,0.0,391.1,292667,11462348543.0,0.69,1.58
2025-11-20,0.0,379.39,336743,12895238922.0,0.79,-2.99
2025-11-21,0.0,370.0,316313,11850710342.0,0.74,-2.48
2025-11-24,0.0,370.55,228458,8464724008.0,0.54,0.15
2025-11-25,0.0,372.36,206332,7733117131.0,0.48,0.49
2025-11-26,0.0,372.82,189107,7048903988.0,0.44,0.12
2025-11-27,0.0,371.2,222003,8289124681.0,0.52,-0.43
2025-11-28,0.0,373.2,203403,7542337298.0,0.48,0.54
2025-12-01,0.0,382.97,267510,10120862870.0,0.63,2.62
2025-12-02,0.0,380.08,163485,6220569501.0,0.38,-0.75
2025-12-03,0.0,376.08,139911,5294871742.0,0.33,-1.05
2025-12-04,0.0,383.35,191658,7299943081.0,0.45,1.93
2025-12-05,0.0,389.09,232916,9004580815.0,0.55,1.5
2025-12-08,0.0,392.5,216598,8476698700.0,0.51,0.88
2025-12-09,0.0,387.59,186918,7255076087.0,0.44,-1.25
2025-12-10,0.0,382.38,194334,7399361240.0,0.46,-1.34
2025-12-11,0.0,388.99,282154,11089031994.0,0.66,1.73
2025-12-12,0.0,391.8,240020,9355490916.0,0.56,0.72
2025-12-15,0.0,385.5,182750,7099251459.0,0.43,-1.61
2025-12-16,0.0,378.41,191217,7292054834.0,0.45,-1.84
2025-12-17,0.0,383.42,222574,8453303233.0,0.52,1.32
2025-12-18,0.0,372.0,296393,11079385459.0,0.7,-2.98
2025-12-19,0.0,374.0,175599,6572807889.0,0.41,0.54
2025-12-22,0.0,371.84,254935,9489773616.0,0.6,-0.58
2025-12-23,0.0,378.1,236041,8879315764.0,0.55,1.68
2025-12-24,0.0,375.6,210884,7902857946.0,0.5,-0.66
2025-12-25,0.0,373.01,203431,7559336244.0,0.48,-0.69
2025-12-26,0.0,374.43,257237,9616116052.0,0.6,0.38
2025-12-29,0.0,369.31,241241,8924502782.0,0.57,-1.37
2025-12-30,0.0,369.2,190308,7014015793.0,0.45,-0.03
2025-12-31,0.0,367.26,160266,5920431545.0,0.38,-0.53
2026-01-05,0.0,377.5,336881,12583419573.0,0.79,2.79
2026-01-06,0.0,373.99,341477,12764795666.0,0.8,-0.93
2026-01-07,0.0,371.01,262285,9730943679.0,0.62,-0.8
2026-01-08,0.0,369.21,269590,9962397479.0,0.63,-0.49
2026-01-09,0.0,369.23,314772,11681035309.0,0.74,0.01
2026-01-12,0.0,361.68,488307,17505537198.0,1.15,-2.04
2026-01-13,0.0,359.0,296709,10745692370.0,0.7,-0.74
2026-01-14,0.0,353.98,380834,13553362724.0,0.89,-1.4
2026-01-15,0.0,353.75,323709,11474019059.0,0.76,-0.06
2026-01-16,0.0,352.32,319818,11350569563.0,0.75,-0.4
2026-01-19,0.0,348.9,338643,11842421263.0,0.8,-0.97
2026-01-20,0.0,349.6,354406,12466608900.0,0.83,0.2
2026-01-21,0.0,349.81,393936,13919426404.0,0.93,0.06
2026-01-22,0.0,345.8,459948,15851213229.0,1.08,-1.15
2026-01-23,0.0,347.0,339761,11775914385.0,0.8,0.35
2026-01-26,0.0,342.05,332914,11468681279.0,0.78,-1.43
2026-01-27,0.0,339.4,322949,10953698562.0,0.76,-0.77
2026-01-28,0.0,339.99,463082,15638344008.0,1.09,0.17
2026-01-29,0.0,341.89,338444,11569006794.0,0.8,0.56
2026-01-30,0.0,350.0,486501,17048600000.0,1.14,2.37
2026-02-02,0.0,348.98,391917,13766144457.0,0.92,-0.29
2026-02-03,0.0,347.91,265163,9220045792.0,0.62,-0.31
2026-02-04,0.0,365.03,485317,17369398061.0,1.14,4.92
2026-02-05,0.0,362.94,284272,10268243283.0,0.67,-0.57
2026-02-06,0.0,369.11,393726,14514523059.0,0.92,1.7
2026-02-09,0.0,368.82,274486,10080946318.0,0.64,-0.08
2026-02-10,0.0,364.97,185635,6798020174.0,0.44,-1.04
2026-02-11,0.0,368.0,196535,7239804070.0,0.46,0.83
2026-02-12,0.0,375.87,277546,10410892196.0,0.65,2.14
2026-02-13,0.0,365.34,223145,8229700941.0,0.52,-2.8
2026-02-24,0.0,361.95,226951,8316534692.0,0.53,-0.93
2026-02-25,0.0,362.18,187166,6802110618.0,0.44,0.06
2026-02-26,0.0,346.0,435414,15108143010.0,1.02,-4.47
2026-02-27,0.0,342.01,254466,8775054149.0,0.6,-1.15
2026-03-02,0.0,340.22,283513,9643254983.0,0.67,-0.52
2026-03-03,0.0,344.07,400075,13919957237.0,0.94,1.13
2026-03-04,0.0,338.9,250804,8468604901.0,0.59,-1.5
2026-03-05,0.0,350.25,310061,10819502021.0,0.73,3.35
2026-03-06,0.0,354.77,209631,7388868682.0,0.49,1.29
2026-03-09,0.08567982724030528,357.5,317976,11217996825.0,0.75,0.77
2026-03-10,0.05946582370230781,376.3,507417,19049080512.0,1.19,5.26
2026-03-11,0.03042495224030527,396.8,575987,22642696276.0,1.35,5.45
2026-03-12,0.030237447814932213,395.5,291504,11537671606.0,0.68,-0.33
2026-03-13,0.09506250000000001,397.0,355826,14201304444.0,0.84,0.38
2026-03-16,0.0,408.4,373521,15195015004.0,0.88,2.87
2026-03-17,0.0,405.0,359807,14787230789.0,0.85,-0.83
2026-03-18,0.0,402.02,265300,10653633584.0,0.62,-0.74
2026-03-19,0.0,400.5,292866,11867380765.0,0.69,-0.38
2026-03-20,0.0,413.0,537297,22252017693.0,1.26,3.12
2026-03-23,0.0,401.99,446141,18193336487.0,1.05,-2.67
2026-03-24,0.0,396.99,364105,14439124609.0,0.86,-1.24
2026-03-25,0.0,397.81,267528,10553996246.0,0.63,0.21
2026-03-26,0.0,402.5,267637,10811439764.0,0.63,1.18
2026-03-27,0.11413514323772293,416.18,302580,12465856864.0,0.71,3.4
2026-03-30,0.0,413.0,253484,10440376424.0,0.6,-0.76
2026-03-31,0.0,401.7,249256,10159878345.0,0.59,-2.74
2026-04-01,0.0,405.71,231701,9384266504.0,0.54,1.0
2026-04-02,0.0,401.17,223056,8988161794.0,0.52,-1.12
2026-04-03,0.0,386.46,247515,9640031385.0,0.58,-3.67
2026-04-07,0.0,384.59,172576,6675632984.0,0.41,-0.48
